Job Title,Company Name,Location,Job Description,Job role,Education,Key Skill,Reviews,Applicants,Openings
Digital Marketing Trainee,Hello Brand,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,If you are trained and aware of the new social media trends and emerging marketing strategies we are ready to provide a golden opportunity of working with the most equipped digital marketing professionals    Must have indepth knowledge in     On page    Offpage    Social media management    Google Ads,Role Direct MarketingIndustry Type Advertising  MarketingDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Marketing,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMedia managementSocial mediadigital marketing traineeDigital marketing,,421.0,1
Customer Service - Sales - Housing - DM - HL,Tata Capital,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Achieving business targets as laid down by acquiring new client relationships and maintaining them    Graduate in any discipline     Identify target areas for prospective business     Prescreen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers     Ensure vendor empanelment and develop relationships with new vendors     Develop strong distribution channels     Ensure compliance to all Audit  RBI regulations,Role Client RetentionIndustry Type Financial ServicesDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Sales Support  Operations,EducationUG Any GraduatePG Any Postgraduate,Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceVendorSales promotionAuditing,4.02,377.0,1
Social Media Intern,Action For India,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Requirement     Skilled in Twitter Facebook and other social media platforms     Internship Duration      months This is a virtual role No physical presence or travel is required     Responsibilities    We are looking for an intern to handle social media managementanalysis and related services with passion in social sector with willingness to learn The candidate will work with the management to help managing and analyzing social media    Skilled in using social media platforms and generate engagement   Work on a designated project to generate expected reports based on social media insight and analytics   Be creative and engage with social entrepreneurs connected with Action For India   Through exposure to project management and business planning activities develop a foundation for basic requirements necessary to be successful in a business environment   Handle communication with AFI stakeholders and gather required information in planning and execution of planned projects,Role Marketing and Communication  OtherIndustry Type NGO  Social Services  Industry AssociationsDepartment Marketing  CommunicationEmployment Type Full Time PermanentRole Category Marketing and Communication  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsMedia managementInternSocial mediaProject managementBusiness planningManagementInternshipAnalytics,1.02,85.0,1
Sr. Customer Service Executive - Customer Service Operations,Tata Communications,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,Has enough knowledge within Customer Service Operations to allow them to apply their knowledge efficiently and work productively with broad instruction     Regularly participate in important projects or activities as a full contributing team member is able to proactively identify important issues or risks seeks the appropriate level of guidance and advice to ensure delivery of quality outcomes     Operational role which is responsible for delivering results that have direct impact on the achievement of results within Service Assurance    Works under direct supervision     Able to identify problems and provide inputs to improve change or adapt existing methods and techniques drawing from personal experiences and feedback     Actively acquires more complex skills techniques operating practices knowledge of abstract concepts in order to progress toward full proficiency in the field of specialisation     Has skills and knowledge that will allow them to adapt to effectively deal with unfamiliar issues challenges problems within their field of specialisation,Role Customer ServiceIndustry Type Telecom  ISPDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Customer Success Service  Operations  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsService assuranceCustomer service operationsCCNAOperationsCustomer Service ExecutiveCCNPSenior Customer Service ExecutiveSupervision,4.12955,5104.0,1
DNB /DM - Cardiology(Fresher),Narayana Health NH,KolkataWest Bengal BangaloreBengaluru,Narayana Hrudayalaya Hospital Group Indias leading healthcare provider invites dynamic and passionate healthcare professionals to join the groupWe invite applications for the following positionsPosition Junior Consultant CardiologyQualification DNBDM CardiologyLocation BangaloreA medical professional with or without experience in cardiology would be preferred Interested medical professionals can contact Raghavendra and forward updated resume toraghavendrahnarayanahealthorgThanks  RegardsRaghavendra,Role Doctor  OtherIndustry Type Medical Services  HospitalDepartment Healthcare  Life SciencesEmployment Type Full Time PermanentRole Category Doctor,EducationPG MedicalMSMD in Any SpecializationDoctorate PhDDoctorate,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsCardiologistDNB CardiologyInterventional CardiologyDM Cardiologycardiology,4.21354,197.0,1
Full-Time Content Writer & Academic Content Writer (Work From Home),Capital Infotech,Kolkata,Greetings from Capital InfotechProfile SEO Content WriterBeing a SEO Content Writer with us you must write unique and grammatically correct content on the given topic keeping the guidelines in mind Writing AI generated content is strictly prohibittedWorking Days MonSatWorking Hours  am   pmDaily Words to be produced  wordsday This is a permanent work from home jobMust have A working laptopdesktop and a stable internet connectionThe interview procedure includes writtenA st Round written Assignment  wordsB nd Round Written Assignment  wordsAfter completing these  rounds we would conduct an Induction paid of  days to familiarize you with our existing projects and how we workOn the basis of your performance during the interview rounds and induction your salary would be finalizedLanguage English Required Must have a good hold over both verbal and written English Must be wellversed in MS Office Must have a good typing speed Must be able to frame sentences on own Must adhere to deadlineProfile Academic Content writer Fresher must not applySubjects in Academic writing  Business Management HR medical law finance statistics python Java SQL Pure Mthematics with calculationReference style  Harvard MHRA APA MLA OscolaCountry UK USA AustraliaJob Types Fulltime Permanent Work from homeMust have A working laptopdesktop and a stable internet connectionWorking Days Monday to SaturdayWorking Hours  am to  pmDaily Words to be produced  wordsday Interview rounds  written tests   days of inductionEducation Bachelors RequiredExperience Minimum  year of fulltime experience is a mustSalary of academic writer  depending on experience level and interview performance,Role Content Editorial  Journalism  OtherIndustry Type Content Development  LanguageDepartment Content Editorial  JournalismEmployment Type Full Time PermanentRole Category Content Editorial  Journalism  Other,EducationUG Any GraduatePG Any PostgraduateDoctorate Doctorate Not Required Any Doctorate,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsWeb Content Writerassignment writingacademic writerdissertation writingcontent writerPress ReleaseBlog WritingContent WritingTechnical WritingReport WritingAcademic WritingMedical WritingWritingacademic content writercontent developerArticle Writing,3.528,1535.0,5
Hiring Airtel Xstream Fiber Field Sales Executive For Kolkata,Teamlease Services Limited,KolkataWest Bengal,Mega Hiring Drive for Indias leading TelecomBroadband Company Bharti Airtel Ltd Designation  XFE Xstream Fibre ExecutiveWork Experience              Up to  years of experience broad band experience will be an added advantageSalary  Salary basis the Minimum wages of the state Deserving Candidate Salary can be discussed with Circle SPOC  approval sought Sales Executives will be applicable for all other Incentive scheme champ from time to time basis  Salary and Incentive Payout to be paid in AIRTEL PAYMENTS BANK AccountQualifications  Graduate or Higher Secondary with Field Sales Expertise in TelecomBankingInsuranceNetwork MarketingRequirements  Age Group  Years to  Years Excellent Personality  presentable Very Good Communication  Presentation Skills Up to  years of experience broad band experience will be an added advantage Excellent Command over the local language of the state Conversing in English being an added advantage Well versed skill set for approaching  handling customer Selfmotivated sincere  committed to deliver the results Smartphone is a must have and should be well versed in app knowledge Personal Vehicle  Two Wheeler Mandatory with Driving licenseJob Description  Achieve the monthly Sales target for Airtel Broadband by connecting with potential customers  convincing them to purchase broadband connection Identify Approach  Inform potential customers about the advantages of installing  subscribing to Airtel Broadband To mark their presence regularly marking in  out attendance in the Airtel APP Visit household retailers across designated area  look for potential customers to convince them for purchasing Airtel Broadband Responsible for developing leads of the prospective customers  approach them Responsible for providing on time competition feedback to circle Airtel Team To be up to date on company products  its features launched from time to timeInterested candidates can drop their resumes below undersignedEmail ID  shibangydasteamleasecomWhatsapp Number,Role Field Sales ExecutiveIndustry Type Telecom  ISPDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Any GraduatePG Any Postgraduate,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsField SalesField MarketingHiring Airtel Xstream Fiber Field Sales Excutive For KolkataField Sales ManagementB2C SalesB2C MarketingDirect SalesField WorkSales Executive Activities,3.92727,62.0,30
Hiring For kolkata International Voice Process,Wipro Employees choice,Kolkata,Job DescriptionWipro KOLKATA is Hiring for International Voice ProcessExcellent communication skillsELIGIBILITYFresher can apply onlyGraduate and Undergraduate both can applyExcept  Mechnical  CivilLLB B PharmaMBAShould have proper Documents Aadhaar and Pan  Double Vaccination Certificate all the marksheets of highest qualificationCandidates should be willing to work in complete Night ShiftsExcellent Communication Skills English Language OnlyShould be Comfortable in Work From OfficeINTERESTED CANDIDATE CAN SHARE THEIR CVS AT RegardsHR Moubani,Role Customer Retention  Voice  BlendedIndustry Type IT Services  ConsultingDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Voice  Blended,EducationUG BBA BMS in Any Specialization BCA in Any Specialization BSc in Any Specialization BCom in Any Specialization BA in Any Specialization,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsInternational Voice ProcessInbound Customer ServiceInternational Call CenterVoice SupportInbound Voice ProcessCommunication SkillsDomestic Voice ProcessBpo VoiceDomestic VoiceTelecallingDomestic BPOInternational BPOInternational Calling,3.836401,524.0,1
International Voice Process,Wipro Employees choice,Kolkata,GreetingsWipro is hiring for International Voice ProcessLocation  Kolkata Relocation is not allowedEligibility  Undergraduates  Graduates can applyShift Timings  Night Shift Sat  Sun fixed offDesired Candidate Profile Freshers can applyCandidate with  year of experience in BPO are eligible for the sameCandidates should have good  excellent communication skills in EnglishPLEASE NOTE INTERESTED CANDIDATES SHOULD HAVE ALL THEIR DOCUMENTS ID Proofs Marksheetthth Graduation Double Vaccination EXPERIENCED CANDIDATES MUST HAVE THE ADD ON DOCUMENTS Offer letter Experience letter Salary slipsPerks and Benefits One way drop by cabPerformance based incentivesDirect payrollINTERESTED CANDIDATES KINDLY SHARED YOUR CV ON  OR zenobiamccoywiprocomPLEASE DO NOT CALLRegardsHR Zenobia,Role Voice  Blended  OtherIndustry Type BPO  Call CentreDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Voice  Blended,EducationUG Any GraduatePG Any Postgraduate,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsFluent EnglishInternational Voice ProcessCommunication SkillsInternational BPO,3.836401,1961.0,1
Food & Beverage Associate,Marriott,Kolkata,Complete closing duties including storing all reusable goods breaking down goods cleaning all equipment and areas returning equipment to proper locations locking refrigerators restocking items turning off lights locking doors and completing daily cleaning checklist Set up stock and maintain work areas Inspect the cleanliness and presentation of all china glass and silver prior to use Maintain cleanliness of work areas throughout the day practicing cleanasyougo procedures     Follow all company and safety and security policies and procedures report accidents injuries and unsafe work conditions to manager and complete safety training and certifications Ensure uniform and personal appearance are clean and professional maintain confidentiality of proprietary information and protect company assets Welcome and acknowledge all guests according to company standards Speak with others using clear and professional language and answer telephones using appropriate etiquette Develop and maintain positive working relationships with others support team to reach common goals and listen and respond appropriately to the concerns of other employees    Ensure adherence to quality expectations and standards Read and visually verify information in a variety of formats eg small print Stand sit or walk for an extended period of time or for an entire work shift Move lift carry push pull and place objects weighing less than or equal to  pounds without assistance Grasp turn and manipulate objects of varying size and weight requiring fine motor skills and handeye coordination Move over sloping uneven or slippery surfaces as well as up and down stairs andor service ramps Reach overhead and below the knees including bending twisting pulling and stooping Perform other reasonable job duties as requested by Supervisors,Role BartenderIndustry Type Travel  TourismDepartment Food Beverage  HospitalityEmployment Type Full Time PermanentRole Category FB Service,EducationUG Any GraduatePG Any Postgraduate,Key SkillsSupervisorPrintingHospitalityUsageSafety trainingProgrammingInspectionWellnessManagement,4.21130,,1
Guest Services Associate - Front Office,Marriott,Kolkata,Process all guest checkins checkouts room assignments and room changelate checkout requests Secure payment activatereissue room keys Ensure rates match market codes document exceptions Verifyadjust billing for guests Communicate to appropriate staff when guests are waiting for an available room Advise guest of messages Clear departures in computer system Coordinate with Housekeeping to track room status and guest concerns File guest paperwork or documentation Operate telephone switchboard station Run and check daily reports contingency lists and credit card authorization reports Supply guests with directions and information Answer record and process all guest calls requests questions or concerns follow up to ensure each has been met to guests satisfaction Arrange transportation for guestsvisitors Count and secure bank at beginning and end of shift Cashguests checks process all payment types vouchers paidouts charges and provide change Notify Loss PreventionSecurity of any reports of theft     Follow company policies and procedures report accidents injuries and unsafe work conditions to manager ensure uniform and personal appearance are clean and professional maintain confidentiality of proprietary information protect company assets Welcome and acknowledge guests according to company standards anticipate and address guests service needs assist individuals with disabilities thank guests with genuine appreciation Speak using clear and professional language answer telephones using appropriate etiquette Develop and maintain positive working relationships support team to reach common goals listen and respond appropriately to the concerns of employees Comply with quality assurance standards Stand sit or walk for an extended period of time,Role Guest Service AssociateIndustry Type Travel  TourismDepartment Food Beverage  HospitalityEmployment Type Full Time PermanentRole Category Front Office  Guest Services,EducationUG Any GraduatePG Any Postgraduate,Key SkillsHousekeepingTrainingSupervisorStationHospitalityLoss preventionFront officeManager Quality AssuranceFocusBilling,4.21130,,1
Housekeeping Associate,Marriott,Kolkata,Respond promptly to requests from guests and other departments Fill cart with supplies and transport cart to assigned area Enter guest rooms following procedures for gaining access and ensuring vacancy before entering Replace guest amenities and supplies in rooms Replace dirty linens and terry with clean items Make beds and fold terry Clean bathrooms Remove trash dirty linen and room service items Check that all appliances are present in the room and in working order Straighten desk items furniture and appliances Dust polish and remove marks from walls and furnishings Vacuum carpets and performs floor care duties eg in guest rooms and hallway     Follow all company and safety and security policies and procedures report any maintenance problems safety hazards accidents or injuries complete safety training and certifications properly store flammable materials Ensure uniform and personal appearance are clean and professional maintain confidentiality of proprietary information Welcome and acknowledge all guests according to company standards anticipate and address guests service needs assist individuals with disabilities thank guests with genuine appreciation Speak with others using clear and professional language Support team to reach common goals Ensure adherence to quality expectations and standards Move lift carry and place objects weighing less than or equal to  pounds without assistance and in excess of  pounds with assistance Ability to push and pull a loaded housekeeping cart and other workrelated equipment over sloping and uneven surfaces Reach overhead and below the knees including bending twisting pulling and stooping Stand sit kneel or walk for an extended period across an entire work shift Grasp turn and manipulate objects of varying size and weight requiring fine motor skills and handeye coordination Perform other reasonable job duties as requested by Supervisors,Role Housekeeping Executive  AttendantIndustry Type Travel  TourismDepartment Food Beverage  HospitalityEmployment Type Full Time PermanentRole Category Housekeeping  Laundry,EducationUG Any GraduatePG Any Postgraduate,Key SkillsHousekeepingSupervisorHospitalityHousekeeping AssociateAppliancesSafety trainingRoom serviceProgrammingWellnessManagement,4.21130,,1
Guest Service Associate - Food and Beverage Service,Marriott,Kolkata,Serve food courses and alcoholic beverages to guests Set tables according to type of event and service standards Answer questions on menu selections Communicate with the kitchen regarding menu questions the length of wait recook orders and product availability Communicate additional meal requirements allergies dietary needs and special requests to the kitchen Record transaction in MICROS system at time of order Check in with guests to ensure satisfaction with each food course andor beverages Maintain cleanliness of work areas china glass etc throughout the day Complete closing duties including restocking items turning off lights etc Present physical and accurate check to guest and process payment     Follow all company and safety and security policies and procedures report accidents injuries and unsafe work conditions to manager and complete safety training and certifications Ensure uniform and personal appearance are clean and professional maintain confidentiality of proprietary information and protect company assets Welcome and acknowledge all guests according to company standards anticipate and address guests service needs assist individuals with disabilities and thank guests with genuine appreciation Speak with others using clear and professional language Develop and maintain positive working relationships with others support team to reach common goals and listen and respond appropriately to the concerns of other employees    Ensure adherence to quality expectations and standards Read and visually verify information in a variety of formats eg small print Stand sit or walk for an extended period of time or for an entire work shift Move lift carry push pull and place objects weighing less than or equal to  pounds without assistance and objects weighing in excess of  pounds with assistance Grasp turn and manipulate objects of varying size and weight requiring fine motor skills and handeye coordination Move over sloping uneven or slippery surfaces as well as up and down stairs andor service ramps Reach overhead and below the knees including bending twisting pulling and stooping Perform other reasonable job duties as requested by Supervisors,Role Guest Service AssociateIndustry Type Travel  TourismDepartment Food Beverage  HospitalityEmployment Type Full Time PermanentRole Category Front Office  Guest Services,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTrainingSupervisorPrintingHospitalitySafety trainingFocusCookManagementGuest Service Associate,4.21130,,1
Commis,Marriott,Kolkata,Prepare ingredients for cooking including portioning chopping and storing food Wash and peel fresh fruits and vegetables Weigh measure and mix ingredients Prepare and cook food according to recipes quality standards presentation standards and food preparation checklist Prepare cold foods Operate ovens stoves grills microwaves and fryers Test foods to determine if they have been cooked sufficiently Monitor food quality while preparing food Setup and break down work station Serve food in proper portions onto proper receptacles Wash and disinfect kitchen area tables tools knives and equipment Check and ensure the correctness of the temperature of appliances and food     Follow all company and safety and security policies and procedures report maintenance needs accidents injuries and unsafe work conditions to manager complete safety training and certifications Ensure uniform and personal appearance are clean and professional maintain confidentiality of proprietary information protect company assets Speak with others using clear and professional language    Develop and maintain positive working relationships with others support team to reach common goals listen and respond appropriately to the concerns of other employees Ensure adherence to quality expectations and standards Stand sit or walk for an extended period of time or for an entire work shift Reach overhead and below the knees including bending twisting pulling and stooping,Role Commis Commi     Industry Type Travel  TourismDepartment Food Beverage  HospitalityEmployment Type Full Time PermanentRole Category Kitchen  FB Production,EducationUG Any GraduatePG Any Postgraduate,Key SkillsTrainingSupervisorHospitalityQuality standardsCookingAppliancesSafety trainingFocuscommisMonitoring,4.21130,,1
MEGA Drive For Airtel Xstream Fiber Field Sales Executive For Kolkata,Teamlease Services Limited,KolkataWest Bengal Sodepur Belgharia New Town Garia Rajarhat Salt Lake Barrackpore Dum Dum Metro Dum Dum Dunlop Khardah Naihati Kalyani Bidhan Nagar,Mega Hiring Drive for Indias leading TelecomBroadband Company Bharti Airtel Ltd Designation  XFE Xstream Fibre ExecutiveWork Experience Up to  years of experience broad band experience will be an added advantage                                                    FRESHERS ALSO CAN APPLY   Salary  Salary basis the Minimum wages of the state Deserving Candidate Salary can be discussed with Circle SPOC  approval sought Sales Executives will be applicable for all other Incentive scheme champ from time to time basis  Salary and Incentive Payout to be paid in AIRTEL PAYMENTS BANK AccountQualifications  Graduate or Higher Secondary with Field Sales Expertise in TelecomBankingInsuranceNetwork MarketingRequirements  Age Group  Years to  Years Excellent Personality  presentable Very Good Communication  Presentation Skills Up to  years of experience broad band experience will be an added advantage Excellent Command over the local language of the state Conversing in English being an added advantage Well versed skill set for approaching  handling customer Selfmotivated sincere  committed to deliver the results Smartphone is a must have and should be well versed in app knowledge Personal Vehicle  Two Wheeler Mandatory with Driving licenseJob Description  Achieve the monthly Sales target for Airtel Broadband by connecting with potential customers  convincing them to purchase broadband connection Identify Approach  Inform potential customers about the advantages of installing  subscribing to Airtel Broadband To mark their presence regularly marking in  out attendance in the Airtel APP Visit household retailers across designated area  look for potential customers to convince them for purchasing Airtel Broadband Responsible for developing leads of the prospective customers  approach them Responsible for providing on time competition feedback to circle Airtel Team To be up to date on company products  its features launched from time to timeInterested candidates can drop their resumes below undersignedEmail ID  shibangydasteamleasecomWhatsapp Number,Role Field Sales ExecutiveIndustry Type Telecom  ISPDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Graduation Not Required,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsFIELD SALESEXECUTIVEField Sales ManagementOutside SalesB2C MarketingField SalesField MarketingField WorkB2B SalesSales Executive Activities,3.92727,,30
HR Assistant,Indusind Bank,KolkataWest Bengal,Role  responsibilities  Assist with day to day operations of the HR functions and dutiesProvide clerical and administrative support to Regional HRCompile and update employee records hard and soft copiesProcess documentation and prepare reports relating to personnel activitiesDeal with employee requests regarding human resources issues rules and regulationsAssist in payroll preparation by providing relevant dataCoordinate communication with candidates and schedule interviewsConduct initial orientation to newly hired employeesAssist RHR for Onboarding process and documentation Mandatory Expectations   Excellent verbal and written communication skillsPunctuality and ability to meet deadlinesStrong team spirit and collaboration skillsCommitment to ethical work practices and professionalismResponsible and reliable work approachEnthusiasm for work and a positive attitude Right mindset and attitude towards work and colleagues,Role Human Resources  OtherIndustry Type BankingDepartment Human ResourcesEmployment Type Full Time TemporaryContractualRole Category Human Resources  Other,EducationUG Any GraduatePG Any Postgraduate,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsHR Generalist ActivitiesHR CoordinationJoining FormalitiesPayroll ProcessingOnboardingPayroll Management,3.79014,147.0,1
Internal Firm Services- Human Capital- Talent Acquisition- Associate,PwC Service Delivery Center,Kolkata,As an Associate youll work as part of a team of problem solvers helping to solve complex business issues from strategy to execution PwC Professional skills and responsibilities for this management level include but are not limited to      Invite and give in the moment feedback in a constructive manner   Share and collaborate effectively with others   Identify and make suggestions for improvements when problems andor opportunities arise   Handle manipulate and analyse data and information responsibly   Follow risk management and compliance procedures   Keep uptodate with developments in area of specialism   Communicate confidently in a clear concise and articulate manner  verbally and in the materials I produce   Build and maintain an internal and external network   Seek opportunities to learn about how PwC works as a global network of firms   Uphold the firms code of ethics and business conduct               Job Description       We are looking for an extremely selfmotivated individual who will relish the opportunity to join the Talent Acquisition team        The following would be the key job responsibilities           Ramping up the TrustAssurance practice for PwC IAC in Kolkata by sourcing  interviewing relevant profiles from their domain         Provide relevant inputs on market trends  best practices required for achieving the growth         Proactive in understanding and implementation of instructions written and verbal by the senior members of Talent Acquisition team          Consistent in following processesinstructions for completion of assigned tasks         Deliver based on agreed quality proceduresprogramme meet deadlines and escalate issues         Consistently demonstrate teamwork dynamics by working collaboratively with other members of the team understand personal and team roles and display strong ownership of assigned deliverables         Contribute towards a positive working environment by building good working relationships with the reporting manager and other team members proactively seek guidance clarification and feedback         Always adhere to PwC policies and procedures         Participate in training and other selfdevelopment opportunities as and when available         Act as a business advisor from a Talent Acquisition perspective          Qualification  GraduatePost Graduate         Experience   years,Role Recruitment  Talent Acquisition  OtherIndustry Type Accounting  AuditingDepartment Human ResourcesEmployment Type Full Time PermanentRole Category Recruitment  Talent Acquisition,EducationUG Any GraduatePG Any Postgraduate,Key SkillsAssurancehuman capitalLeadership developmentOperational excellenceNetworkingTalent acquisitionIFSHRprofessional servicesRisk management,3.66791,208.0,1
Hiring For Renowned finance company,Teamlease Services Limited,KolkataWest Bengal,Role  responsibilities  Client coordination Target oriented Follow ups with clientPreferred candidate profile   Fresher and Experience both can applyPerks and benefits   NTH  PF  ESI  Incentives,Role Field Sales ExecutiveIndustry Type Recruitment  StaffingDepartment Sales  Business DevelopmentEmployment Type Full Time PermanentRole Category Retail  BC Sales,EducationUG Graduation Not Required,Key SkillsmarketingSales,3.92727,152.0,1
L1 - Support (Networking),Aarushi Infotech,Srinagar Kolkata BangaloreBengaluru,The L Network Support Engineer will be responsible for providing x support to our clients in maintaining their network infrastructure    Daily tasks will include troubleshooting and resolving network issues configuration and maintenance of network infrastructure and providing technical support to clients      Key Responsibilities    Provide basic network support including router firewall and switch configurations    Install patch and upgrade server hardware and software    Understand cabling data and power inventory control and preventive maintenance    Provide remote connection using tools such as Team Viewer AnyDesk or other remote monitoring tools    Perform data backup SMPS replacement and hard disk replacement    Candidate Qualifications   The ideal candidate should possess the following qualifications     At least one year of experience in network support    ITINetwork Technician or Diploma in Computer Science and EngineeringElectronics and Communications qualification    Required Skills   The ideal candidate should possess the following skills     Basic knowledge of network infrastructure and configuration    Familiarity with router firewall and switch configurations    Knowledge of server installation patching and upgrading    Familiarity with cabling data and power inventory control and preventive maintenance    Ability to provide remote connection using tools such as TeamViewer and AnyDesk    Demonstrable knowledge of data backup SMPS replacement and hard disk replacement    Fluent in English writing and speaking bilingual English and Hindi is desirable,Role Network Support EngineerIndustry Type IT Services  ConsultingDepartment Engineering  Hardware  NetworksEmployment Type Full Time PermanentRole Category IT Network,EducationUG Diploma in Any Specialization BTechBE in Any SpecializationPG Any Postgraduate,Key SkillsNetwork supportNetworkingNetwork infrastructureServer installationInventory controlSMPSTroubleshootingPreventive maintenanceFirewall,,1221.0,1
International Voice Process - Wipro Kolkata - HR Sireen,Wipro Employees choice,KolkataWest Bengal,GreetingsWipro is hiring for International Voice ProcessLocation  Kolkata Relocation is not allowedEligibility  Undergraduates  Graduates can applyShift Timings  Night Shift  days rotational week offDesired Candidate Profile Freshers can applyCandidate with  year of experience in BPO are eligible for the sameCandidates should have good  excellent communication skills in EnglishPLEASE NOTE INTERESTED CANDIDATES SHOULD HAVE ALL THEIR DOCUMENTS ID Proofs Marksheetthth Graduation Double VaccinationEXPERIENCED CANDIDATES MUST HAVE THE ADD ON DOCUMENTS Offer letter Experience letter Salary slipsPerks and Benefits One way drop by cabPerformance based incentivesDirect payrollINTERESTED CANDIDATES KINDLY SHARE YOUR CV ON HR SHIREEN  OR HR PUJAsireenkhatoonwiprocomPLEASE DO NOT CALLRegardsHR Sireen,Role Customer Success AssociateIndustry Type IT Services  ConsultingDepartment Customer Success Service  OperationsEmployment Type Full Time PermanentRole Category Customer Success,EducationUG Graduation Not Required,Key SkillsSkills highlighted with ‘‘ are preferred keyskillsInbound Voice ProcessCommunication SkillsUs Voice ProcessInternational Voice ProcessInternational BPOBPOHospitalityAviationTourismEnglishHospitality ManagementBpo VoiceExcellent Communication In EnglishISC,3.836401,2298.0,1
Technical Content Writer (Product),Mentorsity,Kolkata Mumbai New Delhi HyderabadSecunderabad Pune Chennai BangaloreBengaluru,The Technical Content Writer Product plays a crucial role in creating engaging and informative content that communicates the features benefits and applications of products   This role is essential in shaping how our audience perceives our products and influences their decisionmaking process    Key Responsibilities    Collaborate with product managers engineers and marketing teams to understand the product features and benefits   Research industry trends technology developments and customer needs to create relevant and compelling content   Write clear concise and accurate technical documents product descriptions and user guides   Ensure content is technically accurate and aligned with brand voice and style   Optimize content for SEO and support the marketing team with content for various digital platforms   Review and edit content to improve readability and adhere to quality standards   Create visual aids diagrams and videos to enhance product documentation   Manage and maintain a content editorial calendar to meet deadlines and project timelines   Stay updated with product updates and new releases to keep content accurate and up to date   Collaborate with crossfunctional teams to gather feedback and improve content effectiveness   Contribute to the development and maintenance of content style guidelines and best practices   Assist in writing technical blog posts white papers and case studies to support thought leadership   Conduct user testing and gather feedback to improve content usability and effectiveness   Participate in product meetings and contribute to the overall content strategy   Provide support for customer inquiries and productrelated content requests    Required Qualifications    Bachelors degree in English Technical Writing Computer Science or a related field   Proven experience as a technical writer or content writer in a technology or productfocused industry   Strong understanding of technical concepts and the ability to translate complex information into easily understandable content   Excellent writing editing and proofreading skills with high attention to detail and accuracy   Knowledge of SEO best practices and the ability to optimize content for search engines   Ability to work in a fastpaced environment and manage multiple projects simultaneously   Strong communication and collaboration skills to work with crossfunctional teams   Experience with visual communication through graphics diagrams and video creation   Knowledge of product documentation standards and best practices   Portfolio of relevant work samples demonstrating writing and content creation skills,Role Content Creation  WriterIndustry Type ELearning  EdTechDepartment Content Editorial  JournalismEmployment Type Full Time PermanentRole Category Content Management Print  Online  Electronic,EducationUG Any GraduatePG Any Postgraduate,Key SkillsGraphicsContent strategyQuality standardsTechnical writingManager TechnologyManagementSEOProof readingTechnical documentation,4.5119,186.0,1
