Job Title,Company Name,Location,Job Description,Job Openings,Job role,Education,Key Skill
Retail Sales Executive,['Ample Technologies3.8252 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  People who have experience in the apparel or footwear domain are eligible to apply.      Greeting customer s find out the needs.      To be a sales consultant to the customer.      Describing a product s features demonstrate use and operation of the product.      Handling customer queries regarding the store and the merchandise.      Providing information about warranties, manufacturing specifications, care and maintenance of merchandise and delivery options.      Key Requisites      Maintain sales reports to keep a track of the progress.      Excellent communication skills, both written and verbal      Fast learner and passion for sales      A positive, confident and determined approach.      The skills to work both independently and as part of a team      Flexibility to work various shifts      Self driven goal oriented and willing to work on weekend   ']",['Posted: 30+ days agoOpenings: 1Applicants: 1597'],"['Role: Retail Sales,Industry Type: Recruitment / Staffing,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Retail & B2C Sales']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsRetail merchandisingRetail Sales ExecutiveSales ExecutiveMerchandisingRetail sales']
Customer Service - Sales - Housing - EM,['Tata Capital4.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",[' Achieving business targets as laid down by acquiring new client relationships and maintaining them.    Graduate in any discipline     Identify target areas for prospective business     Pre-screen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross- sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers.     Ensure vendor empanelment and develop relationships with new vendors.     Develop strong distribution channels     Ensure compliance to all Audit / RBI regulations.   '],['Posted: 29 days agoOpenings: 1Applicants: 436'],"['Role: Customer Service,Industry Type: Financial Services,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Customer Success, Service & Operations - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceVendorSales promotionAuditing']
Administration & HR Intern,['Action For India1.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",['      Responsible for screening resumes based on selection criteria for various open positions.   Responsible for maintaining virtual files on the organization Drive.Design and create overall look and feel for graphics projects.   Responsible for supporting the selection process and other administrative duties towards ensuring process efficiency.      Skills Required:    The offer is open to all courses provided the candidate meets the skill requirement. Please ensure you have adequately proved your skill through your CV submission-     Excellent communication skills   Willingness to learn and grow   Flexibility to work beyond stipulated working hours   Working knowledge of MS Office Suite   Prior HR experience will be an added advantage   Certificate upon successful completion of internship.    Letter of recommendation to exceptional performers.  '],['Posted: 30+ days agoOpenings: 1Applicants: 322'],"['Role: Human Resources - Other,Industry Type: NGO / Social Services / Industry Associations,Department: Human Resources,Employment Type: Full Time, PermanentRole Category: Human Resources - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsGraphicsMS Office suiteSelection processAdministrationProcess efficiencyHR InternHRInternship']
Customer Service - Sales - Housing,['Tata Capital4.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",[' Achieving business targets as laid down by acquiring new client relationships and maintaining them.    Graduate in any discipline     Identify target areas for prospective business     Pre-screen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross- sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers.     Ensure vendor empanelment and develop relationships with new vendors.     Develop strong distribution channels     Ensure compliance to all Audit / RBI regulations.   '],['Posted: 30+ days agoOpenings: 1Applicants: 1310'],"['Role: Customer Service,Industry Type: Financial Services,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Customer Success, Service & Operations - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceSales promotionAuditing']
Digital Marketing Trainee,['Hello Brand'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","[' If you are trained and aware of the new social media trends and emerging marketing strategies, we are ready to provide a golden opportunity of working with the most equipped digital marketing professionals.    Must have in-depth knowledge in:     On page    Off-page    Social media management    Google Ads   ']",['Posted: 30+ days agoOpenings: 1Applicants: 421'],"['Role: Direct Marketing,Industry Type: Advertising & Marketing,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Marketing']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMedia managementSocial mediadigital marketing traineeDigital marketing']
Customer Service - Sales - Housing - DM - HL,['Tata Capital4.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']",[' Achieving business targets as laid down by acquiring new client relationships and maintaining them.    Graduate in any discipline     Identify target areas for prospective business     Pre-screen customer segments as per the organization norms     Ensure the number of log in along with disbursement     Ensure high customer satisfaction level by proactively understanding customer needs and cross- sell multiple products as per the requirements     Execute sales promotion activities to build customer interest in the TCFSL brand     Build strong client relationships both internally and externally and build a strong brand identification with potential customers.     Ensure vendor empanelment and develop relationships with new vendors.     Develop strong distribution channels     Ensure compliance to all Audit / RBI regulations.   '],['Posted: 30+ days agoOpenings: 1Applicants: 377'],"['Role: Client Retention,Industry Type: Financial Services,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Sales Support & Operations']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsComplianceCustomer satisfactionCREService salesCustomer serviceVendorSales promotionAuditing']
Social Media Intern,['Action For India1.02 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  Requirement     Skilled in Twitter, Facebook and other social media platforms     Internship Duration     2-4 months. This is a virtual role. No physical presence or travel is required.     Responsibilities    We are looking for an intern to handle social media management,analysis and related services with passion in social sector with willingness to learn. The candidate will work with the management to help managing and analyzing social media.    Skilled in using social media platforms and generate engagement.   Work on a designated project to generate expected reports based on social media insight and analytics.   Be creative and engage with social entrepreneurs connected with Action For India.   Through exposure to project management and business planning activities, develop a foundation for basic requirements necessary to be successful in a business environment.   Handle communication with AFI stakeholders and gather required information in planning and execution of planned projects.  ']",['Posted: 30+ days agoOpenings: 1Applicants: 85'],"['Role: Marketing and Communication - Other,Industry Type: NGO / Social Services / Industry Associations,Department: Marketing & Communication,Employment Type: Full Time, PermanentRole Category: Marketing and Communication - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsMedia managementInternSocial mediaProject managementBusiness planningManagementInternshipAnalytics']
Sr. Customer Service Executive - Customer Service Operations,['Tata Communications4.12955 Reviews'],"['Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru']","['  Has enough knowledge within Customer Service Operations to allow them to apply their knowledge efficiently and work productively with broad instruction.     Regularly participate in important projects or activities as a full contributing team member, is able to proactively identify important issues or risks, seeks the appropriate level of guidance and advice to ensure delivery of quality outcomes.     Operational role which is responsible for delivering results that have direct impact on the achievement of results within Service Assurance.    Works under direct supervision.     Able to identify problems and provide inputs to improve, change or adapt existing methods and techniques drawing from personal experiences and feedback.     Actively acquires more complex skills, techniques, operating practices, knowledge of abstract concepts in order to progress toward full proficiency in the field of specialisation.     Has skills and knowledge that will allow them to adapt to effectively deal with unfamiliar issues, challenges, problems within their field of specialisation.   ']",['Posted: 30+ days agoOpenings: 1Applicants: 5104'],"['Role: Customer Service,Industry Type: Telecom / ISP,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Customer Success, Service & Operations - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsService assuranceCustomer service operationsCCNAOperationsCustomer Service ExecutiveCCNPSenior Customer Service ExecutiveSupervision']
DNB /DM - Cardiology(Fresher),['Narayana Health (NH)4.21354 Reviews'],"['Kolkata,West Bengal, Bangalore/Bengaluru']","[""Narayana Hrudayalaya Hospital Group, India's leading healthcare provider, invites dynamic and passionate healthcare professionals to join the group.We invite applications for the following positions:Position: Junior Consultant, CardiologyQualification: DNB/DM (Cardiology)Location: BangaloreA medical professional with or without experience in cardiology would be preferred. Interested medical professionals can contact Raghavendra and forward updated resume toraghavendra.h01@narayanahealth.orgThanks & RegardsRaghavendra+919513314873""]",['Posted: 15 days agoOpenings: 1Applicants: 197'],"['Role: Doctor - Other,Industry Type: Medical Services / Hospital,Department: Healthcare & Life Sciences,Employment Type: Full Time, PermanentRole Category: Doctor']",['EducationPG: Medical-MS/MD in Any SpecializationDoctorate: Ph.D/Doctorate'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsCardiologistDNB CardiologyInterventional CardiologyDM Cardiologycardiology']
Full-Time Content Writer & Academic Content Writer (Work From Home),['Capital Infotech3.528 Reviews'],['Kolkata'],"[""Greetings from Capital Infotech!Profile: SEO Content WriterBeing a SEO Content Writer with us, you must write unique and grammatically correct content on the given topic keeping the guidelines in mind. Writing AI generated content is strictly prohibitted.Working Days: Mon-SatWorking Hours: 10 am - 7 pmDaily Words to be produced: 3000-3500 words/day This is a permanent work from home jobMust have: A working laptop/desktop and a stable internet connectionThe interview procedure includes (written):A. 1st Round: written Assignment -700 words.B. 2nd Round: Written Assignment- 1000 wordsAfter completing these 2 rounds we would conduct an Induction (paid) of 7 days to familiarize you with our existing projects and how we work.On the basis of your performance during the interview rounds and induction; your salary would be finalized.Language: English (Required)1. Must have a good hold over both verbal and written English2. Must be well-versed in MS Office3. Must have a good typing speed4. Must be able to frame sentences on own5. Must adhere to deadline-----------------------------------------------------------------------------------------------------------------------------------------------------------Profile- Academic Content writer (Fresher must not apply)Subjects in Academic writing - Business Management, HR, medical, law, finance, statistics, python, Java SQL, Pure Mthematics with calculationReference style - Harvard, MHRA, APA, MLA, OscolaCountry- UK, USA, Australia.Job Types: Full-time, Permanent Work from homeMust have: A working laptop/desktop and a stable internet connectionWorking Days: Monday to SaturdayWorking Hours: 10 am to 7 pmDaily Words to be produced: 2500-3000 words/day Interview rounds- 3 written tests & 2 days of induction.Education: Bachelor's (Required)Experience: Minimum 1 year of fulltime experience is a mustSalary of academic writer - depending on experience level, and interview performance.""]",['Posted: 1 day agoOpenings: 5Applicants: 1535'],"['Role: Content, Editorial & Journalism - Other,Industry Type: Content Development / Language,Department: Content, Editorial & Journalism,Employment Type: Full Time, PermanentRole Category: Content, Editorial & Journalism - Other']","['EducationUG: Any GraduatePG: Any PostgraduateDoctorate: Doctorate Not Required, Any Doctorate']",['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsWeb Content Writerassignment writingacademic writerdissertation writingcontent writerPress ReleaseBlog WritingContent WritingTechnical WritingReport WritingAcademic WritingMedical WritingWritingacademic content writercontent developerArticle Writing']
Hiring Airtel Xstream Fiber Field Sales Executive For Kolkata,['Teamlease Services Limited3.92727 Reviews'],"['Kolkata,West Bengal']","["" Mega Hiring Drive for India's leading Telecom/Broadband Company Bharti Airtel Ltd. Designation : XFE (Xstream Fibre Executive)Work Experience :             Up to 3 years of experience (broad band experience will be an added advantage)Salary :- Salary basis the Minimum wages of the state, Deserving Candidate Salary can be discussed with Circle SPOC & approval sought.- Sales Executives will be applicable for all other Incentive scheme champ from time to time basis .- Salary and Incentive Payout to be paid in AIRTEL PAYMENTS BANK Account.Qualifications : Graduate or Higher Secondary with Field Sales Expertise in Telecom/Banking/Insurance/Network MarketingRequirements :- Age Group 25 Years to 32 Years- Excellent Personality & presentable- Very Good Communication & Presentation Skills- Up to 3 years of experience, broad band experience will be an added advantage- Excellent Command over the local language of the state, Conversing in English being an added advantage- Well versed skill set for approaching & handling customer- Self-motivated, sincere & committed to deliver the results- Smartphone is a must have and should be well versed in app knowledge- Personal Vehicle - Two Wheeler Mandatory with Driving licenseJob Description :- Achieve the monthly Sales target for Airtel Broadband by connecting with potential customers & convincing them to purchase broadband connection- Identify, Approach & Inform potential customers about the advantages of installing & subscribing to Airtel Broadband- To mark their presence regularly marking in & out attendance in the Airtel APP- Visit household, retailers across designated area & look for potential customers to convince them for purchasing Airtel Broadband- Responsible for developing leads of the prospective customers & approach them- Responsible for providing on time competition feedback to circle Airtel Team- To be up to date on company products & its features launched from time to time.Interested candidates can drop their resumes below undersigned-Email ID : shibangy.das@teamlease.comWhatsapp Number : 8609800471""]",['Posted: 1 day agoOpenings: 30Applicants: 62'],"['Role: Field Sales Executive,Industry Type: Telecom / ISP,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Retail & B2C Sales']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsField SalesField MarketingHiring Airtel Xstream Fiber Field Sales Excutive For KolkataField Sales ManagementB2C SalesB2C MarketingDirect SalesField WorkSales Executive Activities']
Hiring For kolkata International Voice Process,"[""Wipro3.836401 ReviewsEmployees' choice""]",['Kolkata'],"[' Job DescriptionWipro KOLKATA is Hiring for International Voice Process(Excellent communication skills)ELIGIBILITY:-Fresher can apply only.Graduate and Undergraduate both can apply(Except - Mechnical / Civil/LLB /B Pharma/MBA)Should have proper Documents- Aadhaar and Pan , Double Vaccination Certificate, all the marksheets of highest qualification.Candidates should be willing to work in complete Night Shifts.Excellent Communication Skills (English Language Only)Should be Comfortable in Work From Office.INTERESTED CANDIDATE CAN SHARE THEIR CV`S AT 7908899373RegardsHR Moubani']",['Posted: 1 day agoOpenings: 1Applicants: 524'],"['Role: Customer Retention - Voice / Blended,Industry Type: IT Services & Consulting,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Voice / Blended']","['EducationUG: B.B.A/ B.M.S in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization, B.Com in Any Specialization, B.A in Any Specialization']",['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsInternational Voice ProcessInbound Customer ServiceInternational Call CenterVoice SupportInbound Voice ProcessCommunication SkillsDomestic Voice ProcessBpo VoiceDomestic VoiceTelecallingDomestic BPOInternational BPOInternational Calling']
International Voice Process,"[""Wipro3.836401 ReviewsEmployees' choice""]",['Kolkata'],"['Greetings,Wipro is hiring for International Voice Process.Location - Kolkata (Relocation is not allowed).Eligibility - Undergraduates / Graduates can apply.Shift Timings - Night Shift (Sat & Sun fixed off).Desired Candidate Profile :Freshers can apply.Candidate with 0-3 year of experience in BPO are eligible for the same.Candidates should have good - excellent communication skills in English.PLEASE NOTE INTERESTED CANDIDATES SHOULD HAVE ALL THEIR DOCUMENTS( ID Proofs, Marksheet-10th,12th, Graduation, Double Vaccination). EXPERIENCED CANDIDATES MUST HAVE THE ADD ON DOCUMENTS( Offer letter, Experience letter, Salary slips).Perks and Benefits :One way drop by cab.Performance based incentives.Direct pay-roll.INTERESTED CANDIDATES KINDLY SHARED YOUR CV ON- 7908787661 OR zenobia.mccoy@wipro.com.***(PLEASE DO NOT CALL).RegardsHR Zenobia ']",['Posted: 1 day agoOpenings: 1Applicants: 1961'],"['Role: Voice / Blended - Other,Industry Type: BPO / Call Centre,Department: Customer Success, Service & Operations,Employment Type: Full Time, PermanentRole Category: Voice / Blended']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsFluent EnglishInternational Voice ProcessCommunication SkillsInternational BPO']
Food & Beverage Associate,['Marriott4.21130 Reviews'],['Kolkata'],"['     Complete closing duties, including storing all reusable goods, breaking down goods, cleaning all equipment and areas, returning equipment to proper locations, locking refrigerators, restocking items, turning off lights, locking doors, and completing daily cleaning checklist. Set up, stock, and maintain work areas. Inspect the cleanliness and presentation of all china, glass, and silver prior to use. Maintain cleanliness of work areas throughout the day, practicing clean-as-you-go procedures.     Follow all company and safety and security policies and procedures; report accidents, injuries, and unsafe work conditions to manager; and complete safety training and certifications. Ensure uniform and personal appearance are clean and professional, maintain confidentiality of proprietary information, and protect company assets. Welcome and acknowledge all guests according to company standards. Speak with others using clear and professional language, and answer telephones using appropriate etiquette. Develop and maintain positive working relationships with others, support team to reach common goals, and listen and respond appropriately to the concerns of other employees.    Ensure adherence to quality expectations and standards. Read and visually verify information in a variety of formats (e.g., small print). Stand, sit, or walk for an extended period of time or for an entire work shift. Move, lift, carry, push, pull, and place objects weighing less than or equal to 50 pounds without assistance. Grasp, turn, and manipulate objects of varying size and weight, requiring fine motor skills and hand-eye coordination. Move over sloping, uneven, or slippery surfaces as well as up and down stairs and/or service ramps. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Perform other reasonable job duties as requested by Supervisors.               ']",['Posted: 1 day agoOpenings: 1Applicants: Less than 10'],"['Role: Bartender,Industry Type: Travel & Tourism,Department: Food, Beverage & Hospitality,Employment Type: Full Time, PermanentRole Category: F&B Service']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsSupervisorPrintingHospitalityUsageSafety trainingProgrammingInspectionWellnessManagement']
Guest Services Associate - Front Office,['Marriott4.21130 Reviews'],['Kolkata'],"[""     Process all guest check-ins, check-outs, room assignments, and room change/late check-out requests. Secure payment; activate/reissue room keys. Ensure rates match market codes, document exceptions. Verify/adjust billing for guests. Communicate to appropriate staff when guests are waiting for an available room. Advise guest of messages. Clear departures in computer system. Coordinate with Housekeeping to track room status and guest concerns. File guest paperwork or documentation. Operate telephone switchboard station. Run and check daily reports, contingency lists, and credit card authorization reports. Supply guests with directions and information. Answer, record, and process all guest calls, requests, questions, or concerns; follow up to ensure each has been met to guests satisfaction. Arrange transportation for guests/visitors. Count and secure bank at beginning and end of shift. Cash-guests' checks, process all payment types, vouchers, paid-outs, charges, and provide change. Notify Loss Prevention/Security of any reports of theft.     Follow company policies and procedures; report accidents, injuries, and unsafe work conditions to manager; ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Welcome and acknowledge guests according to company standards; anticipate and address guests service needs; assist individuals with disabilities; thank guests with genuine appreciation. Speak using clear and professional language; answer telephones using appropriate etiquette. Develop and maintain positive working relationships; support team to reach common goals; listen and respond appropriately to the concerns of employees. Comply with quality assurance standards. Stand, sit, or walk for an extended period of time.                 ""]",['Posted: 1 day agoOpenings: 1Applicants: Less than 10'],"['Role: Guest Service Associate,Industry Type: Travel & Tourism,Department: Food, Beverage & Hospitality,Employment Type: Full Time, PermanentRole Category: Front Office & Guest Services']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsHousekeepingTrainingSupervisorStationHospitalityLoss preventionFront officeManager Quality AssuranceFocusBilling']
Housekeeping Associate,['Marriott4.21130 Reviews'],['Kolkata'],"['     Respond promptly to requests from guests and other departments. Fill cart with supplies and transport cart to assigned area. Enter guest rooms following procedures for gaining access and ensuring vacancy before entering. Replace guest amenities and supplies in rooms. Replace dirty linens and terry with clean items. Make beds and fold terry. Clean bathrooms. Remove trash, dirty linen, and room service items. Check that all appliances are present in the room and in working order. Straighten desk items, furniture, and appliances. Dust, polish, and remove marks from walls and furnishings. Vacuum carpets and performs floor care duties (e.g., in guest rooms and hallway).     Follow all company and safety and security policies and procedures; report any maintenance problems, safety hazards, accidents, or injuries; complete safety training and certifications; properly store flammable materials. Ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information. Welcome and acknowledge all guests according to company standards; anticipate and address guests service needs; assist individuals with disabilities; thank guests with genuine appreciation. Speak with others using clear and professional language. Support team to reach common goals. Ensure adherence to quality expectations and standards. Move, lift, carry, and place objects weighing less than or equal to 25 pounds without assistance and in excess of 25 pounds with assistance. Ability to push and pull a loaded housekeeping cart and other work-related equipment over sloping and uneven surfaces. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Stand, sit, kneel, or walk for an extended period across an entire work shift. Grasp, turn, and manipulate objects of varying size and weight, requiring fine motor skills and hand-eye coordination. Perform other reasonable job duties as requested by Supervisors.               ']",['Posted: 1 day agoOpenings: 1Applicants: Less than 10'],"['Role: Housekeeping Executive / Attendant,Industry Type: Travel & Tourism,Department: Food, Beverage & Hospitality,Employment Type: Full Time, PermanentRole Category: Housekeeping & Laundry']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsHousekeepingSupervisorHospitalityHousekeeping AssociateAppliancesSafety trainingRoom serviceProgrammingWellnessManagement']
Guest Service Associate - Food and Beverage Service,['Marriott4.21130 Reviews'],['Kolkata'],"['     Serve food courses and alcoholic beverages to guests. Set tables according to type of event and service standards. Answer questions on menu selections. Communicate with the kitchen regarding menu questions, the length of wait, re-cook orders, and product availability. Communicate additional meal requirements, allergies, dietary needs, and special requests to the kitchen. Record transaction in MICROS system at time of order. Check in with guests to ensure satisfaction with each food course and/or beverages. Maintain cleanliness of work areas, china, glass, etc., throughout the day. Complete closing duties, including restocking items, turning off lights, etc. Present physical and accurate check to guest and process payment.     Follow all company and safety and security policies and procedures; report accidents, injuries, and unsafe work conditions to manager; and complete safety training and certifications. Ensure uniform and personal appearance are clean and professional, maintain confidentiality of proprietary information, and protect company assets. Welcome and acknowledge all guests according to company standards, anticipate and address guests service needs, assist individuals with disabilities, and thank guests with genuine appreciation. Speak with others using clear and professional language. Develop and maintain positive working relationships with others, support team to reach common goals, and listen and respond appropriately to the concerns of other employees.    Ensure adherence to quality expectations and standards. Read and visually verify information in a variety of formats (e.g., small print). Stand, sit, or walk for an extended period of time or for an entire work shift. Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance and objects weighing in excess of 50 pounds with assistance. Grasp, turn, and manipulate objects of varying size and weight, requiring fine motor skills and hand-eye coordination. Move over sloping, uneven, or slippery surfaces as well as up and down stairs and/or service ramps. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Perform other reasonable job duties as requested by Supervisors.                ']",['Posted: 1 day agoOpenings: 1Applicants: Less than 10'],"['Role: Guest Service Associate,Industry Type: Travel & Tourism,Department: Food, Beverage & Hospitality,Employment Type: Full Time, PermanentRole Category: Front Office & Guest Services']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTrainingSupervisorPrintingHospitalitySafety trainingFocusCookManagementGuest Service Associate']
Commis,['Marriott4.21130 Reviews'],['Kolkata'],"['     Prepare ingredients for cooking, including portioning, chopping, and storing food. Wash and peel fresh fruits and vegetables. Weigh, measure, and mix ingredients. Prepare and cook food according to recipes, quality standards, presentation standards, and food preparation checklist. Prepare cold foods. Operate ovens, stoves, grills, microwaves, and fryers. Test foods to determine if they have been cooked sufficiently. Monitor food quality while preparing food. Set-up and break down work station. Serve food in proper portions onto proper receptacles. Wash and disinfect kitchen area, tables, tools, knives, and equipment. Check and ensure the correctness of the temperature of appliances and food.     Follow all company and safety and security policies and procedures; report maintenance needs, accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. Ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Speak with others using clear and professional language.    Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Ensure adherence to quality expectations and standards. Stand, sit, or walk for an extended period of time or for an entire work shift. Reach overhead and below the knees, including bending, twisting, pulling, and stooping.                 ']",['Posted: 1 day agoOpenings: 1Applicants: Less than 10'],"['Role: Commis (Commi 1 / 2 / 3),Industry Type: Travel & Tourism,Department: Food, Beverage & Hospitality,Employment Type: Full Time, PermanentRole Category: Kitchen / F&B Production']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsTrainingSupervisorHospitalityQuality standardsCookingAppliancesSafety trainingFocuscommisMonitoring']
MEGA Drive For Airtel Xstream Fiber Field Sales Executive For Kolkata,['Teamlease Services Limited3.92727 Reviews'],"['Kolkata,West Bengal( Sodepur, Belgharia, New Town, Garia, Rajarhat, Salt Lake, Barrackpore, Dum Dum Metro, Dum Dum, Dunlop, Khardah, Naihati, Kalyani, Bidhan Nagar )']","["" Mega Hiring Drive for India's leading Telecom/Broadband Company Bharti Airtel Ltd. Designation : XFE (Xstream Fibre Executive)Work Experience :Up to 3 years of experience (broad band experience will be an added advantage).                                                    ##FRESHERS ALSO CAN APPLY.##   Salary :- Salary basis the Minimum wages of the state, Deserving Candidate Salary can be discussed with Circle SPOC & approval sought.- Sales Executives will be applicable for all other Incentive scheme champ from time to time basis .- Salary and Incentive Payout to be paid in AIRTEL PAYMENTS BANK Account.Qualifications : Graduate or Higher Secondary with Field Sales Expertise in Telecom/Banking/Insurance/Network Marketing.Requirements :- Age Group 25 Years to 32 Years- Excellent Personality & presentable- Very Good Communication & Presentation Skills- Up to 3 years of experience, broad band experience will be an added advantage- Excellent Command over the local language of the state, Conversing in English being an added advantage- Well versed skill set for approaching & handling customer- Self-motivated, sincere & committed to deliver the results- Smartphone is a must have and should be well versed in app knowledge- Personal Vehicle - Two Wheeler Mandatory with Driving license.Job Description :- Achieve the monthly Sales target for Airtel Broadband by connecting with potential customers & convincing them to purchase broadband connection- Identify, Approach & Inform potential customers about the advantages of installing & subscribing to Airtel Broadband- To mark their presence regularly marking in & out attendance in the Airtel APP- Visit household, retailers across designated area & look for potential customers to convince them for purchasing Airtel Broadband- Responsible for developing leads of the prospective customers & approach them- Responsible for providing on time competition feedback to circle Airtel Team- To be up to date on company products & its features launched from time to time.Interested candidates can drop their resumes below undersigned-Email ID : shibangy.das@teamlease.comWhatsapp Number : 8609800471""]",['Posted: 1 day agoOpenings: 30Applicants: Less than 10'],"['Role: Field Sales Executive,Industry Type: Telecom / ISP,Department: Sales & Business Development,Employment Type: Full Time, PermanentRole Category: Retail & B2C Sales']",['EducationUG: Graduation Not Required'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsFIELD SALESEXECUTIVEField Sales ManagementOutside SalesB2C MarketingField SalesField MarketingField WorkB2B SalesSales Executive Activities']
HR Assistant,['Indusind Bank3.79014 Reviews'],"['Kolkata,West Bengal']","['Role & responsibilities  Assist with day to day operations of the HR functions and dutiesProvide clerical and administrative support to Regional HRCompile and update employee records (hard and soft copies)Process documentation and prepare reports relating to personnel activitiesDeal with employee requests regarding human resources issues, rules, and regulationsAssist in payroll preparation by providing relevant dataCoordinate communication with candidates and schedule interviewsConduct initial orientation to newly hired employeesAssist RHR for Onboarding process and documentation. Mandatory Expectations :  Excellent verbal and written communication skills.Punctuality and ability to meet deadlines.Strong team spirit and collaboration skills.Commitment to ethical work practices and professionalism.Responsible and reliable work approach.Enthusiasm for work and a positive attitude. Right mindset and attitude towards work and colleagues. ']",['Posted: 1 day agoOpenings: 1Applicants: 147'],"['Role: Human Resources - Other,Industry Type: Banking,Department: Human Resources,Employment Type: Full Time, Temporary/ContractualRole Category: Human Resources - Other']",['EducationUG: Any GraduatePG: Any Postgraduate'],['Key SkillsSkills highlighted with ‘‘ are preferred keyskillsHR Generalist ActivitiesHR CoordinationJoining FormalitiesPayroll ProcessingOnboardingPayroll Management']
